"ID","Pi","Illustration","Secteur","Année","Famille","Catégorie","Type","Forme","Production","Description","Bibliographie","Période","x","y","secteur_ID"
"K2307","6976",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Deux fragments jointifs d'un skyphos : pied annulaire complet, fond et bas de la panse recouverts d'un épais vernis noir à l'exception de la surface de pose et du fond en lavis rouge avec un point central, une fine bande réservée, une fine bande au lavis, puis une bande plus large réservée. H. cons. 4,5 cm ; Diam. pied 7,1 cm. Vers 500 av. J.-C.",,"Arch",24.716190950,40.785092777,1
"K2308","6956+6957",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN",,"Skyphos",,"Trois fragments jointifs du pied annulaire et du bas de la panse d'un skyphos local (?) recouverts d'un vernis de mauvaise qualité. Seul le fond est couvert d'un lavis rouge avec un filet à mi-distance du centre. H. cons. 3,5 cm ; Diampied : 7 cm",,"Class",24.716190950,40.785092777,1
"K2309","6962",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN",,"Skyphos",,"Fragment d'une partie du fond et du bas de la panse (le pied a été totalement arraché) d'un skyphos recouverts d'un vernis brun. Sur le fond, réservé, quatre rayons ont été incisés. H. cons. 3,5 cm",,"Class",24.716190950,40.785092777,1
"K2314","6975",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Deux fragments de pied annulaire et du bas de la panse d'un skyphos attique recouverts d'un vernis noir à l'exception de la surface de pose. Le fond est recouvert d'un lavis rouge avec un point noir centril et un filet brun l'entourant. Sur le fond, près du pied, deux lettres gravées : la première se lit clairement, delta avec la troisième haste qui dépasse vers le bas, la seconde est incomplète, placée dans la cassure, on observe une haste oblique. H. cons. 5,5 cm ; Diam. pied 6,9 cm. Vers 500 av. J.-C.",,"Arch",24.716190950,40.785092777,1
"K2315","6971+6974",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN",,"Dinos",,"Vingt-deux fragments jointifs (vingt-quatre autres appartiennent au même vase mais ne collent pas) de l'ouverture et de l'épaule d'un dinos (local ?) recouverts d'un vernis noir. contre le rebord de l'embouchure une petite bobine ajoutée sous laquelle s'étend une palmette en relief, pétales vers le bas. Imitation de la vaisselle en métal.",,"Arch",24.716190950,40.785092777,1
"K2616","6961",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Coupe de Castulo","Coupe",,"Fragment de lèvre à ressaut intérieur et du haut de la vasque d'une coupe attique recouvert d'un épais vernis. L. cons. 8,4 cm ; Diam ouverture ~18 cm",,"Class",24.716190950,40.785092777,1
"K3037","8111",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Fine","Non décoré",,"Coupelle",,"Coupelle miniature locale à une anse, complète",,"Class ?",24.716190950,40.785092777,1
"K3038","8110",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Fine","Non décoré",,"Coupelle",,"Coupelle miniature locale à une anse, complète",,"Class ?",24.716190950,40.785092777,1
"K3039","8112",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Fine","Non décoré",,"Coupelle",,"Coupelle miniature locale complète",,"Class ?",24.716190950,40.785092777,1
"K3040","8113",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Fine","Non décoré",,"Coupelle",,"Coupelle miniature locale complète",,"Class ?",24.716190950,40.785092777,1
"K3130","6966",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN",,"Lampe",,"Fragment de corps de lampe attique large et basse dont le bord n' est pas séparé de la paroi avec un tenon rectangulaire incomplet avec deux extrémités saillantes. L. cons. 5,4 cm",,,24.716190950,40.785092777,1
"K3139","6920",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","Non décoré",,"Lampe",,"Fragment de bord de lampe locale (?) carénée avec anse horizontale et tenon. L. cons. 3,7 cm",,,24.716190950,40.785092777,1
"K3140","6919",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VR",,"Lampe",,"Fragment de corps de lampe  basse, au profil caréné ; bec court, légérement redressé vers le haut. Un vernis rouge à recouvre l'intérieur de la lampe, le bord de la lèvre et tout le bec. L. cons. 6,3 cm",,,24.716190950,40.785092777,1
"K4000","6876 (?)",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VR",,"Assiette",,"Fragment d'une assiette plate. Au-dessous, cercle concentriques saillants : un très large vers l'ext., puis deux fins vers le centre. Décor à vernis rouge : au-dessous, trois fines bandes concentriques entre la saillie extérieure et les saillies du centre ; face visible, décor végétal (spirales ?). L. cons. 8,8 cm",,"Arch ?",24.716190950,40.785092777,1
"K309","6967 (?)",,"Evraiocastro, sanctuaire de Déméter","1964","Commune",,,"Vase annulaire surmonté d'hydries miniatures",,"Fragment d'un gros anneau creux, de section rectangulaire, face supérieure aplatie, face inférieure très grossière, mais aplatie ; nombreuses traces de tournassage ; anneau probablement non percé, surmonté d'un nombre indéterminé de vases. Sur la tranche extérieure de l'anneau, on peut distinguer deux bandes parallèles brunes, assez étroites, horizontales continues. Diam. reconstitué de l'anneau 28 cm ; H. anneau : 4,5 cm",,"Arch ?",24.716190950,40.785092777,1
"K311","6959 (?)",,"Evraiocastro, sanctuaire de Déméter","1964","Commune",,,"Vase annulaire surmonté d'hydries miniatures",,"Fragment d'anneau creux de section probablement rectangulaire, face inférieure parfaitement plate et lisse ; il est impossible de déterminer si l'anneau était percé ; anneau surmonté d'un nombre indéterminé d'hydries miniatures. Diam. reconstitué de l'anneau 18 cm ; L. cons. 5,2 cm",,"Arch ?",24.716190950,40.785092777,1
"K385","6837",,"Evraiocastro, sanctuaire de Déméter","1964","Commune",,,"Vase annulaire surmonté d'hydries miniatures",,"Fragment d'un anneau creux présentant une importante déformation  sur la tranche ext. Il est impossible de déterminer si l'anneau était percé. H. cons. 4 cm",,"Arch ?",24.716190950,40.785092777,1
"K616","6786",,"Evraiocastro, sanctuaire de Déméter","1964","Commune",,,"Vase annulaire surmonté d'hydries miniatures",,"Hydrie de vase annulaire presque complète, pansue à épaule marquée, col court et lèvre évasée ; l'anse verticale est dans le sens de l'anneau ; base non pincée, non percée. Traces de vernis rouge à brun au niveau des anses et quelques traces sur la base du vase ; bande à l'intérieur de la lèvre. H. 8,1 cl ; Diam. ouverture 4,9 cm ; Diam. épaule 7,2 cm.",,"Arch ?",24.716190950,40.785092777,1
"K1304","8117",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Commune",,,"Hydrie miniature",,"Hydrie presque complète.Ccol haut et étroit, lèvre assez fine formant un large V retourné, panse très ronde, mais ramassée, épaule très peu marquée ; anses modelées, les anses horizontales forment de petits boudins qui prennent naissantce à mi-hauteur de la panse et viennent se coller sur le haut de l'épaule (elles forment un C largement ouvert) ; pied évasé non mouluré. Pas de trace de vernis ni de décor. H. 9 cm ; Diam. à l'ouverture 2,5 cm ; Diam. panse : 6,1 ; Diam. pied 3,9 cm",,"Hell",24.716190950,40.785092777,1
"K1305","8115",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Commune",,,"Hydrie miniature",,"Hydrie presque complète. Col haut et étroit, panse  en toupie, épaule très peu marquée, arrondie ; anses modelées : les anses horizontales forment de petits boudins assez fins qui prennent naissance  sur l'épaule et viennent  se recourber sur le haut de l'épaule (elles forment un oméga largement ouvert) ; l'anse verticale est plus grosse, elle  prend naissance sur le haut de l'épaule et s'appuie sur le col, sous la lèvre, en décrivant un coude arrondi ; base très réduite sur un pt pied mouluré. Pas de trace de vernis ni de décor. H. cons. 8,9 cm ; Diam. panse 6,55 cm ; Diam. pied 2,2 cm",,"Class ?",24.716190950,40.785092777,1
"K1306","8119",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Commune",,,"Hydrie miniature",,"Hydrie presque complète. Col haut et étroit, épaule très  marquée, carénée, panse réduite ; anses modelées : les anses horizontales forment de petits boudins  fins qui prennent naissance  sur le haut de la panse puis descendent se coller sur le haut de la panse (elles forment un C ouvert) ; anse verticale plus grosse qui prend naissance comme pour les anses horizontales et s'appuie sur le col, sous la lèvre, en décrivant un coude arrondi ; pied légèrement évasé, caréné. Pas de traces de vernis ni de décor. H. 8,5 cm ; Diam. ouverture 3,85 cm ; Diam. pied 3,4 cm",,"Class ?",24.716190950,40.785092777,1
"K1307","8118",,"Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Commune",,,"Hydrie miniature",,"Hydrie presque complète. Col étroit, épaule haute et carénée, panse qui se rétrécit sur un pied mouluré. Elle est entièrement recouverte d'un engobe blanc, qui a viré sur quasiment toute la surface au jaune. H. conservée 8,7 cm ; Diam. épaule 6,6 cm ; Diam. pied 3 cm ",,"Hell ",24.716190950,40.785092777,1
"K2036","6946",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN",,"Assiette ?",,"Quatre fragments jointifs d'un petit objet corinthien légèrement incurvé avec rebord à l'extérieur, crénelé (façon plat à tarte), les ""cannelures"" ne descendent pas jusqu'au bas du bord ; dessous plat avec petit décrochement formant un grand disque. Intérieur entièrement noir (vernis mat) ; à l'extérieur, traces du vernis noir sur les cannelures et le grand disque : peut-être y-avait-il une série de cercles concentriques. D. 8 cm",,"Arch",24.716190950,40.785092777,1
"K2131","7804","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964 ou 1965","Fine","FN",,"Autel ?",,"Deux fragments jointifs d'un petit autel carré ou rectangulaire dont la face intérieure est grossièrement lissée ; elle présente à 1,5 cm du bord un bourrelet de pâte formant un rebord. La face visible est parfaitement lissée. Il devait y avoir plusieurs frises animalières, seule une est en partie conservée (elle est conservée sur toute sa hauteur) ; dessin au trait noir (aucune incision), quelques ajouts rouges. Ces frises étaient séparées par des filets doubles assez larges. Le haut de la frise inférieure est conservé : une longue bande vernie doit correspondre au dos d'un animal. La frise conservée présente un sanglier de profil, incomplet ( depuis la tête jusqu'aux épaules + le bas des pattes arrières. Le sanglier penche la tête en avant vers ce qui pourrait être un fruit tombé au pied d'un arbre placé le long du bord et donc représenté en partie (véritable occupation de l'espace). L'arbre est représenté schématiquement au trait de contour, sans rehaut. Le sanglier, en revanche est moins stylisé : certaines parties de la tête  et de l'épaule sont réservées. Les dents, l'encolure et le haut de l'omoplate sont peints en rouge. Des motifs de remplissage sous l'animal : un fer à cheval avec rayures sous le ventre, une rosette à points entre les pattes avant et enfin un motif floral représenté par 4 pétales triangulaires en cercle. Oeuvre du Peintre de Poséidon et d'Athéna. L. cons. 12 cm ; H. cons. 7,5 cm","A. Coulié, La céramique thasienne à figures noires, Athènes, EFA, Et. Thas 19, 2002, no 129, p. 50 et pl. 32.","Arch",24.716190950,40.785092777,1
"K2204","6951",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","FN",,,,"Fragment d'un grand vase fermé. Le vernis noir est incisé et présente des rehauts rouges. Décor illisible. Le vase porte une inscription : ΑΛΛΓΕ. L. cons. 3,5 cm",,"Arch",24.716190950,40.785092777,1
"K2207","6950","Photothèque EFA : chercher G. Naessens 2009, 6841","Evraiocastro, sanctuaire de Déméter","1964","Fine","FN","Coupe de Droop","Coupe",,"Fragment de lèvre concave nettement démarquée du corps. Intérieur à vernis noir ; sur l'extérieur, plusieurs bandes noires couvrent  la surface. Entre deux d'entre elles, deux séries de trois filets oranges encadrent une bande décorée de silhouettes de coqs, la tête en bas. L. cons. 4,1 cm",,"Arch",24.716190950,40.785092777,1
"K2218","6955",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN",,"Coupe à pied",,"Coupe à parois épaisses, légèrement concaves, qui présente près de l'une des cassures deux perforations distantes de 3,45 cm (trous pour barrettes de réparation ?). Vernis noir épais à l'intérieur et sur toute la hauteur du pied. Au bas de la vasque, autour du pied, large disque peint sur lequel une frise d'arêtes prend naissance. Un fin filet rouge borde le pied des arêtes. Bande noire à nouveau. L. cons. 12,9 cm",,"Arch",24.716190950,40.785092777,1
"K2254","6928+6926","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin",,,"Huit fragments jointifs d'un canthare à corps profond, haut et droit. Vernis noir sur toute la surface intérieure. Sur le corps, à l'extérieur, décor de losanges noirs et rouges alternés, en damier. A l'intérieur des losanges rouges, un petit losange au trait de contour noir est dessiné. Une bande verticale coupe ce motif : deux filets noirs bordent une série de chevrons, pointe vers le haut. H. cons. 9,6 cm. K 2255, 2256, 2257 et 2258 appartiennent au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 25.","Class",24.716190950,40.785092777,1
"K2255","6929","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Deux fragments jointifs de canthare à corps très profond et droit. Lèvre droite, légèrement arrondie sur le bord. Vernis noir sur toute la surface intérieure. Sur le corps du vase, décor de losanges noirs et rouges alternés, en damier. A l'intérieur des losanges rouges, un petit losange au trait de contour noir est dessiné. Sur la lèvre, entre deux bandes réservées, une frise de feuilles couplées par deux et séparées par des baies. H. cons. 5,25 cm ; diam.  ~19 cm. K 2254, 2256, 2257 et 2258 appartiennent au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 25.","Class",24.716190950,40.785092777,1
"K2256","6934","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Fragment de canthare à vasque haute et droite. Lèvre droite, légèrement arrondie sur le bord. Vernis noir à l'intérieur du vase sur toute la surface. Sur le corps, à l'extérieur, décor de losanges noires et rouges alternés, en damier. A l'intérieur des losanges rouges, un petit losange au trait de contour noir est dessiné. Sur la lèvre, entre deux bandes réservées, une frise de feuilles couplées par deux et séparées par des baies. H. cons.2,6 cm ; diam.  ~19 cm. K 2254, 2255, 2257 et 2258 appartiennent au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 25.","Class",24.716190950,40.785092777,1
"K2257","6932","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Fragment de canthare à vasque haute et droite. Lèvre droite, légèrement arrondie sur le bord. Vernis noir à l'intérieur du vase sur toute la surface. Sur le corps, à l'extérieur, décor de losanges noires et rouges alternés, en damier. A l'intérieur des losanges rouges, un petit losange au trait de contour noir est dessiné. Sur la lèvre, entre deux bandes réservées, une frise de feuilles couplées par deux et séparées par des baies. H. cons. 3,35 cm. K 2254, 2255, 2256 et 2258 appartiennent au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 25.","Class",24.716190950,40.785092777,1
"K2258","693?","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Fragment de canthare à vasque haute et droite. Lèvre droite, légèrement arrondie sur le bord. Vernis noir à l'intérieur du vase sur toute la surface. Sur le corps, à l'extérieur, décor de losanges noires et rouges alternés, en damier. A l'intérieur des losanges rouges, un petit losange au trait de contour noir est dessiné. Sur la lèvre, entre deux bandes réservées, une frise de feuilles couplées par deux et séparées par des baies. H. cons. 3,55 cm. K 2254, 2255, 2256 et 2257 appartiennent au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 25.","Class",24.716190950,40.785092777,1
"K2259","6924","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Trois fragments jointifs d'un canthare à vasque haute et droite. Lèvre droite, légèrement arrondie sur le bord. Vernis noir sur toute la surface à l'intérieur. A l'ext., sur la lèvre, de petits traits verticaux parallèles soulignés d'une frise de petits points. Deux fins filets noirs encadrent une zone réservée et forment le haut du cadre d'un panneau placé dans le tiers supérieur de la vasque : damier de losanges alternés noirs (avec rehauts blancs formant un autre losange au trait et un point central) et rouges. Sous ce panneau, sur un fond noir, décor de feuilles de gui en rehaut blanc. La zone des anses est vernie. H. cons. 6 cm ; diam. 12 cm. K 2262 appartient au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 24 (attention, il y a deux vases différents).","Class",24.716190950,40.785092777,1
"K2260","6922","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Fragment de lèvre d'un canthare à vasque haute et droite. Lèvre droite, légèrement arrondie sur le bord. Vernis noir sur toute la surface à l'intérieur. A l'ext., sur la lèvre, de petits traits verticaux parallèles soulignés d'une frise de petits points. Deux fins filets noirs encadrent une zone réservée et forment le haut du cadre d'un panneau placé dans le tiers supérieur de la vasque : damier de losanges alternés noirs (avec rehauts blancs formant un autre losange au trait et un point central) et rouges. Sous ce panneau, sur un fond noir, décor de feuilles de gui en rehaut blanc. La zone des anses est vernie. H. cons. 3,7 cm ; diam. 12 cm. K 2261, 2263, 2264 et peut-être 2265 (?) appartiennent au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 24 (attention, il y a deux vases différents).","Class",24.716190950,40.785092777,1
"K2261","6933+6930","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Trois fragments jointifs d'un canthare à vasque haute et droite. Lèvre droite, légèrement arrondie sur le bord. Vernis noir sur toute la surface à l'intérieur. A l'ext., sur la lèvre, de petits traits verticaux parallèles soulignés d'une frise de petits points. Deux fins filets noirs encadrent une zone réservée et forment le haut du cadre d'un panneau placé dans le tiers supérieur de la vasque : damier de losanges alternés noirs (avec rehauts blancs formant un autre losange au trait et un point central) et rouges. Sous ce panneau, sur un fond noir, décor de feuilles de gui en rehaut blanc. La zone des anses est vernie. H. cons. 2,4 cm ; diam. 12 cm. K 2260, 2261, 2263, 2264 et peut-être 2265 (?)  appartiennent au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 24 (attention, il y a deux vases différents).","Class",24.716190950,40.785092777,1
"K2262","6925","Photothèque EFA ","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Deux fragments jointifs d'un canthare à vasque haute et droite. Lèvre droite, légèrement arrondie sur le bord. Vernis noir sur toute la surface à l'intérieur. A l'ext., sur la lèvre, de petits traits verticaux parallèles soulignés d'une frise de petits points. Deux fins filets noirs encadrent une zone réservée et forment le haut du cadre d'un panneau placé dans le tiers supérieur de la vasque : damier de losanges alternés noirs (avec rehauts blancs formant un autre losange au trait et un point central) et rouges. Sous ce panneau, sur un fond noir, décor de feuilles de gui en rehaut blanc. La zone des anses est vernie. H. cons. 2,4 cm ; L. cons. 7,1 cm ; diam. 12 cm. K 2269 appartient au même vase.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 24 (attention, il y a deux vases différents).","Class",24.716190950,40.785092777,1
"K2266","6923 (?)",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Fragment du haut du corps d'un canthare, juste sous la lèvre. Vernis noir sur toute la surface à l'intérieur ; à l'extérieur, sous la lèvre, large bande noire décorée d'une guirlande de feuilles de gui et de baies en rehauts blancs. L. cons. 3,7 cm. ",,"Class",24.716190950,40.785092777,1
"K2267","6937",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","FR","Canthare de Saint-Valentin","Canthare",,"Fragment du haut du corps d'un canthare, juste sous la lèvre. Vernis noir sur toute la surface à l'intérieur ; à l'extérieur, sous la lèvre, large bande noire décorée d'une guirlande de feuilles de gui et de baies en rehauts blancs. L. cons. 3,4 cm",,"Class",24.716190950,40.785092777,1
"K2270","6949","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Coupe",,"Fragment de fond de coupe attique à figures rouges. A l'extérieur, vernis noir qui ne couvre pas toute la surface (autour du pied, la zone est restée réservée) ; à l'intérieur, médaillon dont le décor n'est pas identifiable : une série de lignes fines, parallèles, un drapé et peut-être des rochers (?). L. cons. 5,7 cm",,"Class",24.716190950,40.785092777,1
"K2282","6944","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Coupe",,"Fragment de vasque de coupe. Vernis noir à l'intérieur ; à l'extérieur, palmette bordée d'un fin filet réservé. L. cons. 2,4 cm",,"Class",24.716190950,40.785092777,1
"K4001","6882","Dessin","Evraiocastro, sanctuaire de Déméter","1964","Fine","VR",,"Bol",,"Cinq fragments jointifs formant un bol complet. Bol très ouvert à lèvre simple, recourbée vers l'intérieur. Pied annulaire. Dessous légèrement concave. Décor à vernis rouge : à l'extérieur, trois fines bandes parallèles ; à l'intérieur, décor végétal ? Diam. ouverture 12,7 cm ; Diam. pied 7,15 cm ; H. 4,2 cm",,"Class ?",24.716190950,40.785092777,1
"K5004","6940",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN",,"Coupe",,"Fragment de fond de coupe. Fond légèrement concave. A l'intérieur, deux lignes incisées, parallèles, délimittent une série de points estampillés. L. cons. 3,5 cm",,"Class",24.716190950,40.785092777,1
"K5122","6943",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Canthare",,"Quatorze fragments jointifs de la partie supérieure d'un canthare attique à figures rouges. Sur la lèvre, frise d'oves. Deux scènes distinctes : à droite, un éphèbe debout, une lance dans la main droite regarde en direction d'une scène de banquet vraisemblablement. Un homme barbu, couronné de laurier/olivier est allongé et regarde vers la droite. Au-dessus de ce personnage, on ligne ANFI. De l'autre côté, un jeune éphèbe avec une lance tourne la tête vers la gauche. Au-dessus de sa tête, deux lettres apparaissent IT et peut-être un O. H. cons. 7,1 cm ; Diam. restitué 14 cm. Vers 410-400 av. J.-C.","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 466, fig. 26-27 p. 467 (photographie avant restauration).","Class",24.716190950,40.785092777,1
"K5311","6089",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Deux fragments jointifs d'un grand skyphos attique à vernis noir. Une inscription est gravée sur le haut de la panse (incomplète) : sont conservées trois lettres complètes et une autre dont une seule haste oblique est visible. De gauche à droite : haste oblique basse, ΕΑΡ. H. cons. 5,9 cm ; L. cons. 7,2 cm. Ve siècle. ",,"Arch-Class ",24.716190950,40.785092777,1
"K2269",,,"Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Cratère (?)","attique","Quatre fragments jointifs de la panse d'un cratère (?) attique à figures rouges. L'intérieur est en vernis noir.  Un personnage masculin nu, simplement vêtu d'un himation sur les épaules se tient debout, la main droite posée sur la hanche droite, la main gauche tenant une lance (?). L. cons. 6,9 cm ; H. cons. 4,7 cm","Cl. Rolley, ""Le sanctuaire des dieux Patrôoi et le Thesmophorion de Thasos"", BCH 89, 1965, p. 468, fig. 28","Class",24.716190950,40.785092777,1
