"ID","Numéro d’inventaire","Pi","Provenance","secteur_ID","Famille","Type","Catégorie","Forme","Dimensions","Groupe d’argile ","Description","Contexte","Datation ","Origine ","Num_Analyse","Groupe géochimique ","Bibliographie","Rangement au musée archéologique de Thasos ","x","y"
"THA.40","65/1600",,"Artémision",72,"Vase de stockage",,"Waveline","Hydrie ou Amphore de table","Larg. : 9,6 cm Haut. prés. : 8,6 cm Ép. paroi : 0,6 cm","Pâte de couleur brun orangé (7.5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont érodées. Mince engobe brun pâle. (Perron groupe THA.I)","Fragment d’épaule décoré d’un S-couché. Deux bandes horizontales délimitent la jonction de l’épaule et de la panse. Peinture mate de couleur orangé.","Champ Valma, Sondage 􀈖. Remblai archaïque déposé au sud de la terrasse basse située à
proximité du mur polygonal (entre les murs G et F, sous le sol A).","Seconde moitié du VIe siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 766, no. THA.40, pl. 26. Pour le contexte de découverte, voir Croissant 1966, p. 944-950, figs. 1-6.","Rez-de-chaussée de l'apothèque française",24.714578811,40.779778941
"THA.24","65/1606",,"Artémision",72,"Vase de stockage",,"Waveline","Amphore de table","D. emb. : 16 cm Larg. : 10,7 cm Haut. prés. : 9,6 cm Ép. paroi : 0,6 cm","Pâte brun pâle jaunâtre (7.5YR 7/6 à 10YR 7/4), grossière, dure et friable, renfermant des inclusions de points noirs (sable) et calcaires (points blancs pulvérulents). Les cassures en section sont nettes. La surface extérieure est enduite d’un mince engobe résistant de couleur brun pâle. La texture au toucher est lisse. La cuisson est hétérogène comme l’indique la tranche bicolore marquée par un coeur de couleur bleuté. (Perron, groupe THA.IX).","Fragment de rebord et de col. Rebord, de section carrée, légèrement projeté vers l’extérieur.
Le dessus du rebord est légèrement incliné vers l’intérieur. Le col est haut, de forme cylindrique et rectiligne. Présence d’un petit décrochement dans le haut du col sous le rebord. La jonction du col et de l’épaule est anguleuse. Décor : Le dessus, l’intérieur et l’extérieur du rebord sont peints. Le col est décoré d’une bande à ondulations rapides et sinueuses comprise entre deux filets horizontaux. L’ondulation semble avoir été exécutée de la droite vers la gauche. Peinture mate, diluée, de couleur brune.","Champ Valma, Sondage γ. Remblai archaïque déposé au sud de la terrasse basse située à
proximité du mur polygonal (entre les murs G et F, sous le sol A).","Dernier quart du VIe siècle av. J.-C., peut-être antérieur.","Thasienne ? Grèce de l'Est ?","XRF-THA-01(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 760, no. THA.24, pl. 25, 56. Pour le contexte de découverte, voir Croissant 1966, p. 944-950, figs. 1-6.","Rez-de-chaussée de l'apothèque française",24.714578811,40.779778941
"THA.55","69 T 105",,"Terrain Tampakis",16,"Vase de stockage",,"Waveline","pyxide ou stamnos",,,"Petit rebord plat dressé à la verticale. L’épaule est disposée à l’oblique par rapport au rebord.
Décor : Les surfaces supérieure et externe du rebord sont peintes. L’épaule est décorée d’une bande à ondulations courtes, rapprochées et effilées. Les ondulations sont exécutées de la gauche vers la droite.","Sondage I. Tesson provenant d’un remblai daté du début du IVe siècle contenant de nombreux
fragments de coupes attiques à figures noires, de coupes à rang de points thasiennes, d’amphores de Clazomènes (motifs en écailles de poisson) et de petits bols à vernis noir à décor estampillé.","Fin du VIe/Premier quart du Ve siècle av. J.-C.","Thasienne ?",,,"J.-J. Maffre, BCH 1970, p. 836, 838, fig. 49 ; Perron 2013, p. 771, no. THA.55, pl. 27.","Inconnu",24.714710870,40.781600459
"THA.70","69 T 200",,"Terrain Tampakis",16,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané",,,"Large rebord plat projeté vers l’extérieur. Fragment quelque peu roulé. La surface supérieure du rebord est décorée de six languettes. La partie supérieure interne de la vasque est décorée d’une large
bande suivie d’un filet.","Sondage I. 2e niveau archaïque au-dessus du sol de cailloutis. Lot renfermant des fragments de
coupes à points et de cratères à encoches thasiens, un fragment de coupe ionienne de type B2 et un fragment de dinos « mélien »? Seconde moitié du VIe siècle av. J.-C.","Seconde moitié du VIe siècle av. J.-C.","Thasienne",,,"Maffre 1970, p. 832, 835, fig. 45; Perron 2013, p. 776, no. THA.70, pl. 28.","Inconnu",24.714710870,40.781600459
"THA.93","71/1118",,"Porte du Silène",197,"Vase de service / vase à boire",,"à décor peint","Coupelle monoansée",,,"Rebord de section rectangulaire légèrement incurvé vers l’intérieur. La surface supérieure du rebord est légèrement convexe. La vasque est courbe et en continuité avec le rebord. Une anse horizontale en forme de « U » s’attache au niveau du rebord. Le vase repose sur un fond plat. Décor : La vasque interne est entièrement peinte à l’exception du fond. Peinture mate de couleur noire.","Quartier Ouest, Îlot II, Maison a, Pièce 5. Remblai no 2 recouvrant le sol II. Fin de la Période 3.
Deuxième quart du IVe siècle av. J.-C.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Grandjean 1988, p. 217-218, pl. 73, no 2 ; Perron 2013, p. 784, no. THA.93, pl. 30. ","Apothèque byzantine",24.712791306,40.774655185
"THA.84","71/1128",,"Porte du Silène",197,"Vase de service ou de préparation",,"à décor peint","Lékané","D. emb. : 30 cm Larg. : 16,2 cm Haut. prés. : 12,2 cm Ép. paroi : 0,6 cm","Pâte de couleur brun pâle (10YR 6/4), fine, dure, compacte, renfermant une
grande quantité de fines à moyennes particules de mica, de sable et d’inclusions calcaires. Cassures en
section nettes. Texture sablonneuse. Cuisson en milieu oxydant (Perron, groupe THA.I).","Petit rebord étroit à plan horizontal qui se poursuit sans rupture jusqu’à la base. La vasque est courbe et profonde. Le vase repose sur une base annulaire haute de forme légèrement tronconique. Décor : La surface supérieure du rebord est décorée de languettes disposées à intervalles réguliers. La partie interne de la vasque est décorée d’une bande à mi-vasque et au fond du récipient. La paroi externe est décorée d’une bande au niveau du point d’inflexion. Le pourtour de la base est peint. Peinture mate de couleur rouge.","Quartier Est, Îlot II, Maison a, Pièce 5 (ABCD). Sous le sol V, dans les couches F2/F1. Période
4, Phase 2a (dernier quart du IVe siècle av. J.-C.).","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 780, no. THA.84, pl. 29, 58. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 6; tiroir E3)",24.712791306,40.774655185
"THA.1","71/1140 (ou 71/1815 selon un correctif ajouté à la main)",,"Porte du Silène",197,"Vase de stockage",,"à bandes","Hydrie",,,"Partie supérieure du récipient. Lèvre arrondie légèrement déversée vers l’extérieur. Le col est haut, sinueux et se poursuit sans rupture jusqu’à l’épaule. Le corps est de forme cylindrique et la panse est légèrement plus large que l’épaule. La base est manquante. Décor : Deux bandes horizontales sont placées","Quartier Est, Îlot II, Maison a. Pièce 5 (BDCA). Vestiges reposant sur le sol II + démolition. Début de la Période 3. Début du dernier quart du Ve siècle.","Milieu du Ve siècle av. J.-C.","Thasienne",,,"Grandjean et Knoepfler BCH 1972, p. 933, fig. 25; Grandjean 1988, p. 217-218, pl. 72, no 4; Perron 2013, p. 754, no. THA.1, pl. 24.","Apothèque byzantine ",24.712791306,40.774655185
"THA.51","71/1141",,"Porte du Silène",197,"Vase de stockage et de service",,"à bandes","Oenochoé - mushroom jug",,,"Vase complet","Quartier Est, Îlot II, Maison a, Pièce 5 (BDCA). Vestiges reposant sur le sol II + démolition.
Début de la Période 3 (début du dernier quart du Ve siècle).","Seconde moitié du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 770, no. THA.51, pl. 26. Grandjean 1988, p. 217-218, 237, pl. 72, no 3.","Apothèque byzantine",24.712791306,40.774655185
"THA.52","71/1142",,"Porte du Silène",197,"Vase de stockage et de service",,"à bandes","Oenochoé - mushroom jug",,,"Vase complet","Quartier Est, Îlot II, Maison a, Pièce 5 (BDCA). Vestiges reposant sur le sol II + démolition.
Début de la Période 3 (début du dernier quart du Ve siècle).","Seconde moitié du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 770, no. THA.52, pl. 26. Grandjean 1988, p. 217-218, 237, pl. 72, no 3.","Apothèque byzantine",24.712791306,40.774655185
"THA.85","71/2177",,"Porte du Silène",197,"Vase de service",,"à décor peint","Lékanide","D. emb. : 22 cm Larg. : 5,8 cm Haut. prés. : 4,0 cm Ép. paroi : 0,6 cm","Pâte de couleur rouge orangé (5YR 5/6), fine, dure, compacte, renfermant une
très grande quantité de fines particules de mica. Cassures en section légèrement érodées. Texture
sablonneuse. Cuisson en milieu oxydant (Perron, groupe THA.I).","Rebord muni d’un ressaut externe pouvant recevoir un couvercle. La lèvre est légèrement biseautée. Le ressaut est plat et consiste en un ajout à la paroi. La vasque est profonde et présente une carène dans sa partie inférieure. Décor : La lèvre et la partie supérieure du ressaut sont peints. La partie supérieure externe de la vasque (au-dessus de la carène) est décorée de trois larmes-pétales. La partie supérieure de la vasque est peinte. Peinture mate de couleur rouge.","Quartier Est, Îlot II, Maison a, Pièce 5, sous le sol II. Période 3, début du dernier quart du Ve
siècle av. J.-C.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Nord-égéenne","XRF-THA-23(IPET)","Groupe 3b (Perron 2013)","Perron 2013, p. 781, no. THA.85, pl. 29, 58. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 13, tiroir E14)",24.712791306,40.774655185
"THA.58","72/1438",,"Porte du Silène",197,"Vase de banquet ",,"à vernis noir local","Cratère à colonnettes","Larg. : 11,7 cm Haut. prés. : 5,4 cm Ép. paroi : 0,8 cm","Pâte de couleur brun pâle (10YR 7/4), fine, dure, compacte, renfermant une faible quantité de fines particules de mica. La surface extérieure est enduite d’un mince engobe de couleur brun pâle. Cassures en section légèrement érodées. Texture lisse. Cuisson en milieu oxydant (Perron groupe THA-Ib).","Fragment d’épaule arrondie décorée d’une série de languettes suspendues à la jonction avec le col. La partie inférieure de l’épaule est délimitée par une large bande horizontale. La base du col est peinte. La partie supérieure interne de l’embouchure est peinte. Peinture de couleur brun foncé à noir.","Quartier Est, Îlot II, Maison a, Pièce 2 (GHIJ). Remblai sous le sol IV. Période 4, dernier
quart du IVe siècle. Lot comprenant essentiellement du matériel d’époque archaïque.","Dernier tiers du VIe siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 772, no. THA.58, pl. 27. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 5, tiroir C4)",24.712791306,40.774655185
"THA.67","72/1690",,"Porte du Silène",197,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané","D. emb. : 40 cm Larg. : 7,4 cm Haut. prés. : 4,1 cm Ép. paroi : 1,0 cm","Pâte de couleur brun pâle (10YR 6/4), grossière, dure, poreuse, acidulée,
renfermant une faible quantité de fines à moyennes particules de mica et une grande quantité de sable
(quartz) et d’inclusions calcaires. Cassures en section érodées. Texture abrasive. Cuisson en milieu
oxydant (Perron, groupe THA.V).","Fragment de rebord et de vasque. Large rebord plat de section rectangulaire projeté vers
l’extérieur. La vasque est rectiligne et profonde. Décor : Le dessus du rebord est décoré d’un groupe de trois languettes. La partie supérieure interne est peinte. Peinture mate de couleur rouge.","Quartier Est. Îlot II, Maison a, Pièce 2 (GHIJ). Sous le sol IV (substrat du sol). Période 4, Phase
1, vers 350-340 av. J.-C.","Fin du VIe au premier quart du Ve siècle av. J.-C.","Thasienne","XRF-THA-22(IPET)","Groupe 10 (Perron 2013)","Perron 2013, p. 775, no. THA.67, pl. 28, 57. Pour le contexte de découverte, voir Grandjean 1988, p. 221, 237.","Apothèque byzantine (Silène meuble 4; tiroir C3)",24.712791306,40.774655185
"THA.66","73/2663",,"Porte du Silène",197,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané","D. emb. : 40 cm Larg. : 9,3 cm Haut. prés. : 5,3 cm Ép. paroi : 1,0 cm","Pâte de couleur brun pâle (10YR 6/4), grossière, dure, poreuse, renfermant une faible quantité de fines à moyennes particules de mica et une grande quantité de sable (quartz) et d’inclusions calcaires. Cassures en section érodées. Texture abrasive. Cuisson en milieu oxydant (Perron, groupe THA.V).","Fragment de rebord et de vasque. Large rebord plat de section rectangulaire projeté vers
l’extérieur. La vasque est rectiligne et profonde. Décor : La surface supérieure du rebord est décorée d’un groupe de trois languettes. La partie supérieure interne de la vasque est peinte. Peinture mate de couleur rouge.","Rue du rempart, tronçon oriental. Sous le sol VI (substrat). Période 4 (après 350 av. J.-C.). Lot
renfermant une grande quantité de matériel daté des VIe et Ve siècles av. J.-C.","Fin du VIe / Première moitié du Ve siècle av. J.-C.","Thasienne","XRF-THA-24(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 775, no. THA.66, pl. 28, 57.","Apothèque byzantine (Silène meuble 7; tiroir E8)",24.712791306,40.774655185
"THA.49","73/2680",,"Porte du Silène",197,"Vase de stockage",,"Waveline","Hydrie ou amphore de table","Larg. : 7,6 cm Haut. prés. : 6,6 cm Dimensions anse : 4,0 x 1,9 cm Ép. paroi : 0,5 cm","Pâte de couleur brun pâle (10YR 6/4), fine, plus ou moins dure et légèrement pulvérulente, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Sans engobe. (Perron groupe THA.I)","Fragment d’anse verticale rattachée au col. L’anse est de section ovale. La surface supérieure de l’anse est décorée d’un croisillon suivi de deux traits horizontaux. Peinture mate de couleur noire.","Rue du rempart, tronçon oriental. Sous le sol VI (substrat). Période 4. (après 350 av. J.-C.). Lot
renfermant une grande quantité de matériel daté des VIe et Ve siècles.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 769, no. THA.49, pl. 26. Pour le contexte de découverte, voir GRANDJEAN 1988, p. 46-48, 52, 56, 60 (tableau récapitulatif).","Apothèque byzantine (Silène meuble 7; tiroir F4)",24.712791306,40.774655185
"THA.14","74/1049",,"Porte du Silène",197,"Vase de stockage",,"Waveline","Hydrie","Larg. : 5,4 cm Haut. prés. : 4,4 cm Ép. paroi : 0,5 cm","Pâte de couleur brun foncé à rouge foncé (5YR 5/4 à 7.5YR 5/6), fine, dure et compacte, renfermant une grande quantité de fines particules de mica et d’inclusions calcaires. Les cassures en section sont nettes. La texture au toucher est sablonneuse, voire abrasive. Sans engobe. (Perron, groupe THA.IV)","Fragment de col et d’épaule. La partie inférieure du col est marquée d’une bande horizontale
peinte rehaussée d’un rang de points effectués à l’aide d’un rehaut calcaire blanc. Peinture mate de couleur
brune foncé.","Quartier Ouest, Îlot I, Maison B, Pièce 2 (AEFH). Période 3, début du IVe siècle.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne ou nord-égéenne","XRF-THA-17(IPET)","Groupe 10 (Perron 2013)","Perron 2013, p. 757, no. THA.14, pl. 24. Pour le contexte de
découverte, voir Grandjean 1988, p. 197-198","Apothèque byzantine. (Silène meuble 2, tiroir A18)",24.712791306,40.774655185
